calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,AUT,Dennis,Seeded:&nbsp1,Novak,,1,4,0,0,0,SVK,Filip,&nbsp,Horansky,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,0,0,SRB,Nikola,&nbsp,Milojevic,,4,6,0,0,0,USA,Ernesto,&nbsp,Escobedo,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,0,ARG,Marco,&nbsp,Trungelliti,,6,6,5,0,0,USA,Jeffrey John,&nbsp,Wolf,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,0,CAN,Brayden,Seeded:&nbsp3,Schnur,,7,6,0,0,0,BEL,Kimmer,&nbsp,Coppejans,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,0,0,RUS,Evgeny,Seeded:&nbsp6,Donskoy,,3,6,3,0,0,HRV,Viktor,&nbsp,Galovic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,FRA,Alexandre,&nbsp,Muller,,7,7,0,0,0,EGY,Mohamed,&nbsp,Safwat,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,0,0,FRA,Enzo,&nbsp,Couacaud,,6,3,6,0,0,KAZ,Dmitry,&nbsp,Popko,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,0,0,ITA,Lorenzo,&nbsp,Giustino,,7,2,4,0,0,DEU,Yannick,Seeded:&nbsp18,Maden,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,0,0,FIN,Emil,Seeded:&nbsp4,Ruusuvuori,,6,0,7,0,0,MAR,Elliot,&nbsp,Benchetrit,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,4,5,0,0,ROU,Marius,&nbsp,Copil,,6,6,7,0,0,ITA,Lorenzo,&nbsp,Musetti,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,AUS,Rinky,&nbsp,Hijikata,,7,7,0,0,0,NLD,Tallon,&nbsp,Griekspoor,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,BLR,Ilya,&nbsp,Ivashka,,4,3,0,0,0,CHN,Zhe,&nbsp,Li,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,SVK,Norbert,Seeded:&nbsp10,Gombos,,3,3,0,0,0,SRB,Pedja,&nbsp,Krstin,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,0,CZE,Lukas,&nbsp,Rosol,,6,6,0,0,0,ESP,Pedro,&nbsp,Martinez,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,LVA,Ernests,&nbsp,Gulbis,,6,2,0,0,0,IND,Prajnesh,Seeded:&nbsp17,Gunneswaran,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,DEU,Peter,Seeded:&nbsp16,Gojowczyk,,2,3,0,0,0,FRA,Constant,&nbsp,Lestienne,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,AUS,Max,&nbsp,Purcell,,4,2,0,0,0,SVK,Jozef,Seeded:&nbsp26,Kovalik,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,0,0,ITA,Matteo,&nbsp,Viola,,6,6,0,0,0,CHL,Alejandro,&nbsp,Tabilo,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,0,AUS,Aleksandar,&nbsp,Vukic,,6,6,0,0,0,COL,Daniel Elahi,&nbsp,Galan,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,AUT,Dennis,Seeded:&nbsp1,Novak,,6,2,0,0,0,JPN,Hiroki,&nbsp,Moriya,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,0,0,FRA,Mathias,&nbsp,Bourgue,,6,6,0,0,0,ESP,Mario,&nbsp,Vilella Martinez,,,Qualification
